id,pest,status,report_id
404,tikus,2,202
405,lainnya,2,203
406,tikus,2,203
407,tikus,2,204
408,lalat,2,204
409,kecoa,2,205
410,lainnya,2,205
411,kecoa,2,206
412,kecoa,2,206
413,tikus,2,207
414,lalat,2,207
415,kecoa,2,208
416,lainnya,2,208
417,tikus,2,209
418,tikus,2,209
419,kecoa,2,210
420,kecoa,2,210
421,lainnya,2,211
422,kecoa,2,211
423,kecoa,2,212
424,lalat,2,212
425,kecoa,2,213
426,lainnya,2,213
427,lalat,2,214
428,lalat,2,214
429,lalat,2,215
430,lainnya,2,215
431,kecoa,2,216
432,lainnya,2,216
433,tikus,2,217
434,lalat,2,217
435,kecoa,2,218
436,lainnya,2,218
437,tikus,2,219
438,lainnya,2,219
439,lalat,2,220
440,tikus,2,220
441,tikus,2,221
442,lainnya,2,221
443,lalat,2,222
444,lalat,2,222
445,lainnya,2,223
446,kecoa,2,223
447,tikus,2,224
448,lainnya,2,224
449,tikus,2,225
450,lalat,2,225
451,lainnya,2,226
452,tikus,2,226
453,lalat,2,227
454,tikus,2,227
455,kecoa,2,228
456,tikus,2,228
457,kecoa,2,229
458,tikus,2,229
459,tikus,2,230
460,kecoa,2,230
461,lalat,2,231
462,tikus,2,231
463,lainnya,2,232
464,lainnya,2,232
465,kecoa,2,233
466,lalat,2,233
467,tikus,2,234
468,kecoa,2,234
469,lalat,2,235
470,lainnya,2,235
471,tikus,2,236
472,kecoa,2,236
473,kecoa,2,237
474,lainnya,2,237
475,lainnya,2,238
476,lainnya,2,238
477,kecoa,2,239
478,lalat,2,239
479,lalat,2,240
480,tikus,2,240
481,lainnya,2,241
482,kecoa,2,241
483,kecoa,2,242
484,tikus,2,242
485,lalat,2,243
486,lalat,2,243
487,kecoa,2,244
488,lalat,2,244
489,tikus,2,245
490,lainnya,2,245
491,kecoa,2,246
492,tikus,2,246
493,lainnya,2,247
494,lalat,2,247
495,kecoa,2,248
496,lainnya,2,248
497,tikus,2,249
498,kecoa,2,249
499,lainnya,2,250
500,lalat,2,250
501,tikus,2,251
502,kecoa,2,251
503,kecoa,2,252
504,lainnya,2,252
505,tikus,2,253
506,lalat,2,253
507,lalat,2,254
508,lainnya,2,254
509,tikus,2,255
510,kecoa,2,255
511,lalat,2,256
512,lainnya,2,256
513,tikus,2,257
514,kecoa,2,257
515,tikus,2,258
516,lalat,2,258
517,lainnya,2,259
518,lainnya,2,259
519,lalat,2,260
520,tikus,2,260
521,lalat,2,261
522,tikus,2,261
523,lainnya,2,262
524,lainnya,2,262
525,kecoa,2,263
526,tikus,2,263
527,lalat,2,264
528,lalat,2,264
529,lainnya,2,265
530,lainnya,2,265
531,kecoa,2,266
532,lainnya,2,266
533,tikus,2,267
534,lainnya,2,267
535,kecoa,2,268
536,kecoa,2,268
537,lalat,2,269
538,tikus,2,269
539,tikus,2,270
540,tikus,2,270
