id;display_number;finding;status;area_id;report_id
78;20;Ditemukan aktifitas hama atau potensi sarang hama;3;5;3
79;21;Terdapat akses masuk hama: ceiling,celah pintu, pipa air, dinding, kabel, dll;3;5;3
80;22;Rest Room / Toilet / Hand Wash Area dalam keadaan kotor, drainase pit tidak tertutup;3;6;3
81;23;Terdapat aktifitas hama / potensi sarang / akses hama;3;6;3
82;24;Ditemukan sisa makanan atau makanan yang terbuka di area office/staff room/backroom;3;7;3
83;25;Terdapat aktifitas hama / potensi sarang / akses hama;3;7;3
84;26;Terdapat aktifitas hama / potensi sarang / akses hama;3;8;3
85;27;Terdapat produk yang terbuka dan dapat mengundang hama;3;8;3
86;28;Ditemukan makanan / produk yang terbuka dan beresiko terkena cemaran chemical treatment;3;9;3
87;29;Terdapat lemari/kabinet dalam keadaan terkunci sehingga tidak bisa diinspeksi dan ditreatment;3;9;3
88;1;Tempat sampah luar dalam keadaan kotor, diletakkan dekat pintu/bangunan;3;1;4
89;2;Frekuensi pengangkutan sampah kurang;3;1;4
90;3;Lingkungan sekitar terdapat sampah dan genangan air;3;1;4
91;4;Ditemukan potensi akses atau sarang hama;3;1;4
92;5;Ditemukan sampah atau ceceran makanan;3;2;4
93;6;Ditemukan aktifitas hama atau potensi sarang hama;3;2;4
94;7;Terdapat celah di bawah atau samping pintu atau pintu / jendela tidak ditutup sempurna;3;3;4
95;8;Terdapat sisa makanan di atas meja / lantai;3;3;4
96;9;Terdapat ceceran makanan di area bumbu tambahan;3;3;4
97;10;Tempat sampah indoor tidak tertutup rapat / kondisinya kotor;3;3;4
98;11;Terdapat aktifitas hama / potensi sarang / akses hama;3;3;4
99;12;Terdapat sisa makanan di atas meja serving counter / meja bar / lantai area serving counter;3;4;4
100;13;Terdapat ceceran makanan (sampah), ceceran kotoran lemak dan bau yang mengundang serangga di grease trap;3;4;4
101;14;Terdapat aktifitas hama / potensi sarang / akses hama;3;4;4
102;15;Terdapat sisa makanan di atas meja masak / dan di lantai bawahnya;3;5;4
103;16;Terdapat sisa makanan di area bumbu masak;3;5;4
104;17;Peralatan masak dan dispenser dalam keadaan kotor / belum dibersihkan;3;5;4
105;18;Penyimpanan barang/karton diletakkan langsung di atas lantai (tidak ada jarak yang cukup dengan lantai);3;5;4
106;19;Ditemukan makanan yang terbuka setelah jam operasional (after closing);3;5;4
107;20;Ditemukan aktifitas hama atau potensi sarang hama;3;5;4
108;21;Terdapat akses masuk hama: ceiling,celah pintu, pipa air, dinding, kabel, dll;3;5;4
109;22;Rest Room / Toilet / Hand Wash Area dalam keadaan kotor, drainase pit tidak tertutup;3;6;4
110;23;Terdapat aktifitas hama / potensi sarang / akses hama;3;6;4
111;24;Ditemukan sisa makanan atau makanan yang terbuka di area office/staff room/backroom;3;7;4
112;25;Terdapat aktifitas hama / potensi sarang / akses hama;3;7;4
113;26;Terdapat aktifitas hama / potensi sarang / akses hama;3;8;4
114;27;Terdapat produk yang terbuka dan dapat mengundang hama;3;8;4
115;28;Ditemukan makanan / produk yang terbuka dan beresiko terkena cemaran chemical treatment;3;9;4
116;29;Terdapat lemari/kabinet dalam keadaan terkunci sehingga tidak bisa diinspeksi dan ditreatment;3;9;4
117;1;Tempat sampah luar dalam keadaan kotor, diletakkan dekat pintu/bangunan;3;1;5
118;2;Frekuensi pengangkutan sampah kurang;3;1;5
119;3;Lingkungan sekitar terdapat sampah dan genangan air;3;1;5
120;4;Ditemukan potensi akses atau sarang hama;3;1;5
121;5;Ditemukan sampah atau ceceran makanan;3;2;5
122;6;Ditemukan aktifitas hama atau potensi sarang hama;3;2;5
123;7;Terdapat celah di bawah atau samping pintu atau pintu / jendela tidak ditutup sempurna;3;3;5
124;8;Terdapat sisa makanan di atas meja / lantai;3;3;5
125;9;Terdapat ceceran makanan di area bumbu tambahan;3;3;5
126;10;Tempat sampah indoor tidak tertutup rapat / kondisinya kotor;3;3;5
127;11;Terdapat aktifitas hama / potensi sarang / akses hama;3;3;5
128;12;Terdapat sisa makanan di atas meja serving counter / meja bar / lantai area serving counter;3;4;5
129;13;Terdapat ceceran makanan (sampah), ceceran kotoran lemak dan bau yang mengundang serangga di grease trap;3;4;5
130;14;Terdapat aktifitas hama / potensi sarang / akses hama;3;4;5
131;15;Terdapat sisa makanan di atas meja masak / dan di lantai bawahnya;3;5;5
132;16;Terdapat sisa makanan di area bumbu masak;3;5;5
133;17;Peralatan masak dan dispenser dalam keadaan kotor / belum dibersihkan;3;5;5
134;18;Penyimpanan barang/karton diletakkan langsung di atas lantai (tidak ada jarak yang cukup dengan lantai);3;5;5
135;19;Ditemukan makanan yang terbuka setelah jam operasional (after closing);3;5;5
136;20;Ditemukan aktifitas hama atau potensi sarang hama;3;5;5
137;21;Terdapat akses masuk hama: ceiling,celah pintu, pipa air, dinding, kabel, dll;3;5;5
138;22;Rest Room / Toilet / Hand Wash Area dalam keadaan kotor, drainase pit tidak tertutup;3;6;5
139;23;Terdapat aktifitas hama / potensi sarang / akses hama;3;6;5
140;24;Ditemukan sisa makanan atau makanan yang terbuka di area office/staff room/backroom;3;7;5
141;25;Terdapat aktifitas hama / potensi sarang / akses hama;3;7;5
142;26;Terdapat aktifitas hama / potensi sarang / akses hama;3;8;5
143;27;Terdapat produk yang terbuka dan dapat mengundang hama;3;8;5
144;28;Ditemukan makanan / produk yang terbuka dan beresiko terkena cemaran chemical treatment;3;9;5
145;29;Terdapat lemari/kabinet dalam keadaan terkunci sehingga tidak bisa diinspeksi dan ditreatment;3;9;5
146;1;Tempat sampah luar dalam keadaan kotor, diletakkan dekat pintu/bangunan;3;1;6
147;2;Frekuensi pengangkutan sampah kurang;3;1;6
148;3;Lingkungan sekitar terdapat sampah dan genangan air;3;1;6
149;4;Ditemukan potensi akses atau sarang hama;3;1;6
150;5;Ditemukan sampah atau ceceran makanan;3;2;6
151;6;Ditemukan aktifitas hama atau potensi sarang hama;3;2;6
152;7;Terdapat celah di bawah atau samping pintu atau pintu / jendela tidak ditutup sempurna;3;3;6
153;8;Terdapat sisa makanan di atas meja / lantai;3;3;6
154;9;Terdapat ceceran makanan di area bumbu tambahan;3;3;6
155;10;Tempat sampah indoor tidak tertutup rapat / kondisinya kotor;3;3;6
156;11;Terdapat aktifitas hama / potensi sarang / akses hama;3;3;6
157;12;Terdapat sisa makanan di atas meja serving counter / meja bar / lantai area serving counter;3;4;6
158;13;Terdapat ceceran makanan (sampah), ceceran kotoran lemak dan bau yang mengundang serangga di grease trap;3;4;6
159;14;Terdapat aktifitas hama / potensi sarang / akses hama;3;4;6
160;15;Terdapat sisa makanan di atas meja masak / dan di lantai bawahnya;3;5;6
161;16;Terdapat sisa makanan di area bumbu masak;3;5;6
162;17;Peralatan masak dan dispenser dalam keadaan kotor / belum dibersihkan;3;5;6
163;18;Penyimpanan barang/karton diletakkan langsung di atas lantai (tidak ada jarak yang cukup dengan lantai);3;5;6
164;19;Ditemukan makanan yang terbuka setelah jam operasional (after closing);3;5;6
165;20;Ditemukan aktifitas hama atau potensi sarang hama;3;5;6
166;21;Terdapat akses masuk hama: ceiling,celah pintu, pipa air, dinding, kabel, dll;3;5;6
167;22;Rest Room / Toilet / Hand Wash Area dalam keadaan kotor, drainase pit tidak tertutup;3;6;6
168;23;Terdapat aktifitas hama / potensi sarang / akses hama;3;6;6
169;24;Ditemukan sisa makanan atau makanan yang terbuka di area office/staff room/backroom;3;7;6
170;25;Terdapat aktifitas hama / potensi sarang / akses hama;3;7;6
171;26;Terdapat aktifitas hama / potensi sarang / akses hama;3;8;6
172;27;Terdapat produk yang terbuka dan dapat mengundang hama;3;8;6
173;28;Ditemukan makanan / produk yang terbuka dan beresiko terkena cemaran chemical treatment;3;9;6
174;29;Terdapat lemari/kabinet dalam keadaan terkunci sehingga tidak bisa diinspeksi dan ditreatment;3;9;6
175;1;Tempat sampah luar dalam keadaan kotor, diletakkan dekat pintu/bangunan;3;1;7
176;2;Frekuensi pengangkutan sampah kurang;3;1;7
177;3;Lingkungan sekitar terdapat sampah dan genangan air;3;1;7
178;4;Ditemukan potensi akses atau sarang hama;3;1;7
179;5;Ditemukan sampah atau ceceran makanan;3;2;7
180;6;Ditemukan aktifitas hama atau potensi sarang hama;3;2;7
181;7;Terdapat celah di bawah atau samping pintu atau pintu / jendela tidak ditutup sempurna;3;3;7
182;8;Terdapat sisa makanan di atas meja / lantai;3;3;7
183;9;Terdapat ceceran makanan di area bumbu tambahan;3;3;7
184;10;Tempat sampah indoor tidak tertutup rapat / kondisinya kotor;3;3;7
185;11;Terdapat aktifitas hama / potensi sarang / akses hama;3;3;7
186;12;Terdapat sisa makanan di atas meja serving counter / meja bar / lantai area serving counter;3;4;7
187;13;Terdapat ceceran makanan (sampah), ceceran kotoran lemak dan bau yang mengundang serangga di grease trap;3;4;7
188;14;Terdapat aktifitas hama / potensi sarang / akses hama;3;4;7
189;15;Terdapat sisa makanan di atas meja masak / dan di lantai bawahnya;3;5;7
190;16;Terdapat sisa makanan di area bumbu masak;3;5;7
191;17;Peralatan masak dan dispenser dalam keadaan kotor / belum dibersihkan;3;5;7
192;18;Penyimpanan barang/karton diletakkan langsung di atas lantai (tidak ada jarak yang cukup dengan lantai);3;5;7
193;19;Ditemukan makanan yang terbuka setelah jam operasional (after closing);3;5;7
194;20;Ditemukan aktifitas hama atau potensi sarang hama;3;5;7
195;21;Terdapat akses masuk hama: ceiling,celah pintu, pipa air, dinding, kabel, dll;3;5;7
196;22;Rest Room / Toilet / Hand Wash Area dalam keadaan kotor, drainase pit tidak tertutup;3;6;7
197;23;Terdapat aktifitas hama / potensi sarang / akses hama;3;6;7
198;24;Ditemukan sisa makanan atau makanan yang terbuka di area office/staff room/backroom;3;7;7
199;25;Terdapat aktifitas hama / potensi sarang / akses hama;3;7;7
200;26;Terdapat aktifitas hama / potensi sarang / akses hama;3;8;7
201;27;Terdapat produk yang terbuka dan dapat mengundang hama;3;8;7
202;28;Ditemukan makanan / produk yang terbuka dan beresiko terkena cemaran chemical treatment;3;9;7
203;29;Terdapat lemari/kabinet dalam keadaan terkunci sehingga tidak bisa diinspeksi dan ditreatment;3;9;7
204;1;Tempat sampah luar dalam keadaan kotor, diletakkan dekat pintu/bangunan;3;1;8
205;2;Frekuensi pengangkutan sampah kurang;3;1;8
206;3;Lingkungan sekitar terdapat sampah dan genangan air;3;1;8
207;4;Ditemukan potensi akses atau sarang hama;3;1;8
208;5;Ditemukan sampah atau ceceran makanan;3;2;8
209;6;Ditemukan aktifitas hama atau potensi sarang hama;3;2;8
210;7;Terdapat celah di bawah atau samping pintu atau pintu / jendela tidak ditutup sempurna;3;3;8
211;8;Terdapat sisa makanan di atas meja / lantai;3;3;8
212;9;Terdapat ceceran makanan di area bumbu tambahan;3;3;8
213;10;Tempat sampah indoor tidak tertutup rapat / kondisinya kotor;3;3;8
214;11;Terdapat aktifitas hama / potensi sarang / akses hama;3;3;8
215;12;Terdapat sisa makanan di atas meja serving counter / meja bar / lantai area serving counter;3;4;8
216;13;Terdapat ceceran makanan (sampah), ceceran kotoran lemak dan bau yang mengundang serangga di grease trap;3;4;8
217;14;Terdapat aktifitas hama / potensi sarang / akses hama;3;4;8
218;15;Terdapat sisa makanan di atas meja masak / dan di lantai bawahnya;3;5;8
219;16;Terdapat sisa makanan di area bumbu masak;3;5;8
220;17;Peralatan masak dan dispenser dalam keadaan kotor / belum dibersihkan;3;5;8
221;18;Penyimpanan barang/karton diletakkan langsung di atas lantai (tidak ada jarak yang cukup dengan lantai);3;5;8
222;19;Ditemukan makanan yang terbuka setelah jam operasional (after closing);3;5;8
223;20;Ditemukan aktifitas hama atau potensi sarang hama;3;5;8
224;21;Terdapat akses masuk hama: ceiling,celah pintu, pipa air, dinding, kabel, dll;3;5;8
225;22;Rest Room / Toilet / Hand Wash Area dalam keadaan kotor, drainase pit tidak tertutup;3;6;8
226;23;Terdapat aktifitas hama / potensi sarang / akses hama;3;6;8
227;24;Ditemukan sisa makanan atau makanan yang terbuka di area office/staff room/backroom;3;7;8
228;25;Terdapat aktifitas hama / potensi sarang / akses hama;3;7;8
229;26;Terdapat aktifitas hama / potensi sarang / akses hama;3;8;8
230;27;Terdapat produk yang terbuka dan dapat mengundang hama;3;8;8
231;28;Ditemukan makanan / produk yang terbuka dan beresiko terkena cemaran chemical treatment;3;9;8
232;29;Terdapat lemari/kabinet dalam keadaan terkunci sehingga tidak bisa diinspeksi dan ditreatment;3;9;8
233;1;Tempat sampah luar dalam keadaan kotor, diletakkan dekat pintu/bangunan;3;1;9
234;2;Frekuensi pengangkutan sampah kurang;3;1;9
235;3;Lingkungan sekitar terdapat sampah dan genangan air;3;1;9
236;4;Ditemukan potensi akses atau sarang hama;3;1;9
237;5;Ditemukan sampah atau ceceran makanan;3;2;9
238;6;Ditemukan aktifitas hama atau potensi sarang hama;3;2;9
239;7;Terdapat celah di bawah atau samping pintu atau pintu / jendela tidak ditutup sempurna;3;3;9
240;8;Terdapat sisa makanan di atas meja / lantai;3;3;9
241;9;Terdapat ceceran makanan di area bumbu tambahan;3;3;9
242;10;Tempat sampah indoor tidak tertutup rapat / kondisinya kotor;3;3;9
243;11;Terdapat aktifitas hama / potensi sarang / akses hama;3;3;9
244;12;Terdapat sisa makanan di atas meja serving counter / meja bar / lantai area serving counter;3;4;9
245;13;Terdapat ceceran makanan (sampah), ceceran kotoran lemak dan bau yang mengundang serangga di grease trap;3;4;9
246;14;Terdapat aktifitas hama / potensi sarang / akses hama;3;4;9
247;15;Terdapat sisa makanan di atas meja masak / dan di lantai bawahnya;3;5;9
248;16;Terdapat sisa makanan di area bumbu masak;3;5;9
249;17;Peralatan masak dan dispenser dalam keadaan kotor / belum dibersihkan;3;5;9
250;18;Penyimpanan barang/karton diletakkan langsung di atas lantai (tidak ada jarak yang cukup dengan lantai);3;5;9
251;19;Ditemukan makanan yang terbuka setelah jam operasional (after closing);3;5;9
252;20;Ditemukan aktifitas hama atau potensi sarang hama;3;5;9
253;21;Terdapat akses masuk hama: ceiling,celah pintu, pipa air, dinding, kabel, dll;3;5;9
254;22;Rest Room / Toilet / Hand Wash Area dalam keadaan kotor, drainase pit tidak tertutup;3;6;9
255;23;Terdapat aktifitas hama / potensi sarang / akses hama;3;6;9
256;24;Ditemukan sisa makanan atau makanan yang terbuka di area office/staff room/backroom;3;7;9
257;25;Terdapat aktifitas hama / potensi sarang / akses hama;3;7;9
258;26;Terdapat aktifitas hama / potensi sarang / akses hama;3;8;9
259;27;Terdapat produk yang terbuka dan dapat mengundang hama;3;8;9
260;28;Ditemukan makanan / produk yang terbuka dan beresiko terkena cemaran chemical treatment;3;9;9
261;29;Terdapat lemari/kabinet dalam keadaan terkunci sehingga tidak bisa diinspeksi dan ditreatment;3;9;9
262;1;Tempat sampah luar dalam keadaan kotor, diletakkan dekat pintu/bangunan;3;1;10
263;2;Frekuensi pengangkutan sampah kurang;3;1;10
264;3;Lingkungan sekitar terdapat sampah dan genangan air;3;1;10
265;4;Ditemukan potensi akses atau sarang hama;3;1;10
266;5;Ditemukan sampah atau ceceran makanan;3;2;10
267;6;Ditemukan aktifitas hama atau potensi sarang hama;3;2;10
268;7;Terdapat celah di bawah atau samping pintu atau pintu / jendela tidak ditutup sempurna;3;3;10
269;8;Terdapat sisa makanan di atas meja / lantai;3;3;10
270;9;Terdapat ceceran makanan di area bumbu tambahan;3;3;10
271;10;Tempat sampah indoor tidak tertutup rapat / kondisinya kotor;3;3;10
272;11;Terdapat aktifitas hama / potensi sarang / akses hama;3;3;10
273;12;Terdapat sisa makanan di atas meja serving counter / meja bar / lantai area serving counter;3;4;10
274;13;Terdapat ceceran makanan (sampah), ceceran kotoran lemak dan bau yang mengundang serangga di grease trap;3;4;10
275;14;Terdapat aktifitas hama / potensi sarang / akses hama;3;4;10
276;15;Terdapat sisa makanan di atas meja masak / dan di lantai bawahnya;3;5;10
277;16;Terdapat sisa makanan di area bumbu masak;3;5;10
278;17;Peralatan masak dan dispenser dalam keadaan kotor / belum dibersihkan;3;5;10
279;18;Penyimpanan barang/karton diletakkan langsung di atas lantai (tidak ada jarak yang cukup dengan lantai);3;5;10
280;19;Ditemukan makanan yang terbuka setelah jam operasional (after closing);3;5;10
281;20;Ditemukan aktifitas hama atau potensi sarang hama;3;5;10
282;21;Terdapat akses masuk hama: ceiling,celah pintu, pipa air, dinding, kabel, dll;3;5;10
283;22;Rest Room / Toilet / Hand Wash Area dalam keadaan kotor, drainase pit tidak tertutup;3;6;10
284;23;Terdapat aktifitas hama / potensi sarang / akses hama;3;6;10
285;24;Ditemukan sisa makanan atau makanan yang terbuka di area office/staff room/backroom;3;7;10
286;25;Terdapat aktifitas hama / potensi sarang / akses hama;3;7;10
287;26;Terdapat aktifitas hama / potensi sarang / akses hama;3;8;10
288;27;Terdapat produk yang terbuka dan dapat mengundang hama;3;8;10
289;28;Ditemukan makanan / produk yang terbuka dan beresiko terkena cemaran chemical treatment;3;9;10
290;29;Terdapat lemari/kabinet dalam keadaan terkunci sehingga tidak bisa diinspeksi dan ditreatment;3;9;10
291;1;Tempat sampah luar dalam keadaan kotor, diletakkan dekat pintu/bangunan;3;1;11
292;2;Frekuensi pengangkutan sampah kurang;3;1;11
293;3;Lingkungan sekitar terdapat sampah dan genangan air;3;1;11
294;4;Ditemukan potensi akses atau sarang hama;3;1;11
295;5;Ditemukan sampah atau ceceran makanan;3;2;11
296;6;Ditemukan aktifitas hama atau potensi sarang hama;3;2;11
297;7;Terdapat celah di bawah atau samping pintu atau pintu / jendela tidak ditutup sempurna;3;3;11
298;8;Terdapat sisa makanan di atas meja / lantai;3;3;11
299;9;Terdapat ceceran makanan di area bumbu tambahan;3;3;11
300;10;Tempat sampah indoor tidak tertutup rapat / kondisinya kotor;3;3;11
301;11;Terdapat aktifitas hama / potensi sarang / akses hama;3;3;11
302;12;Terdapat sisa makanan di atas meja serving counter / meja bar / lantai area serving counter;3;4;11
303;13;Terdapat ceceran makanan (sampah), ceceran kotoran lemak dan bau yang mengundang serangga di grease trap;3;4;11
304;14;Terdapat aktifitas hama / potensi sarang / akses hama;3;4;11
305;15;Terdapat sisa makanan di atas meja masak / dan di lantai bawahnya;3;5;11
306;16;Terdapat sisa makanan di area bumbu masak;3;5;11
307;17;Peralatan masak dan dispenser dalam keadaan kotor / belum dibersihkan;3;5;11
308;18;Penyimpanan barang/karton diletakkan langsung di atas lantai (tidak ada jarak yang cukup dengan lantai);3;5;11
309;19;Ditemukan makanan yang terbuka setelah jam operasional (after closing);3;5;11
310;20;Ditemukan aktifitas hama atau potensi sarang hama;3;5;11
311;21;Terdapat akses masuk hama: ceiling,celah pintu, pipa air, dinding, kabel, dll;3;5;11
312;22;Rest Room / Toilet / Hand Wash Area dalam keadaan kotor, drainase pit tidak tertutup;3;6;11
313;23;Terdapat aktifitas hama / potensi sarang / akses hama;3;6;11
314;24;Ditemukan sisa makanan atau makanan yang terbuka di area office/staff room/backroom;3;7;11
315;25;Terdapat aktifitas hama / potensi sarang / akses hama;3;7;11
316;26;Terdapat aktifitas hama / potensi sarang / akses hama;3;8;11
317;27;Terdapat produk yang terbuka dan dapat mengundang hama;3;8;11
318;28;Ditemukan makanan / produk yang terbuka dan beresiko terkena cemaran chemical treatment;3;9;11
319;29;Terdapat lemari/kabinet dalam keadaan terkunci sehingga tidak bisa diinspeksi dan ditreatment;3;9;11
320;1;Tempat sampah luar dalam keadaan kotor, diletakkan dekat pintu/bangunan;3;1;12
321;2;Frekuensi pengangkutan sampah kurang;3;1;12
322;3;Lingkungan sekitar terdapat sampah dan genangan air;3;1;12
323;4;Ditemukan potensi akses atau sarang hama;3;1;12
324;5;Ditemukan sampah atau ceceran makanan;3;2;12
325;6;Ditemukan aktifitas hama atau potensi sarang hama;3;2;12
326;7;Terdapat celah di bawah atau samping pintu atau pintu / jendela tidak ditutup sempurna;3;3;12
327;8;Terdapat sisa makanan di atas meja / lantai;3;3;12
328;9;Terdapat ceceran makanan di area bumbu tambahan;3;3;12
329;10;Tempat sampah indoor tidak tertutup rapat / kondisinya kotor;3;3;12
330;11;Terdapat aktifitas hama / potensi sarang / akses hama;3;3;12
331;12;Terdapat sisa makanan di atas meja serving counter / meja bar / lantai area serving counter;3;4;12
332;13;Terdapat ceceran makanan (sampah), ceceran kotoran lemak dan bau yang mengundang serangga di grease trap;3;4;12
333;14;Terdapat aktifitas hama / potensi sarang / akses hama;3;4;12
334;15;Terdapat sisa makanan di atas meja masak / dan di lantai bawahnya;3;5;12
335;16;Terdapat sisa makanan di area bumbu masak;3;5;12
336;17;Peralatan masak dan dispenser dalam keadaan kotor / belum dibersihkan;3;5;12
337;18;Penyimpanan barang/karton diletakkan langsung di atas lantai (tidak ada jarak yang cukup dengan lantai);3;5;12
338;19;Ditemukan makanan yang terbuka setelah jam operasional (after closing);3;5;12
339;20;Ditemukan aktifitas hama atau potensi sarang hama;3;5;12
340;21;Terdapat akses masuk hama: ceiling,celah pintu, pipa air, dinding, kabel, dll;3;5;12
341;22;Rest Room / Toilet / Hand Wash Area dalam keadaan kotor, drainase pit tidak tertutup;3;6;12
342;23;Terdapat aktifitas hama / potensi sarang / akses hama;3;6;12
343;24;Ditemukan sisa makanan atau makanan yang terbuka di area office/staff room/backroom;3;7;12
344;25;Terdapat aktifitas hama / potensi sarang / akses hama;3;7;12
345;26;Terdapat aktifitas hama / potensi sarang / akses hama;3;8;12
346;27;Terdapat produk yang terbuka dan dapat mengundang hama;3;8;12
347;28;Ditemukan makanan / produk yang terbuka dan beresiko terkena cemaran chemical treatment;3;9;12
